index,card_id,set_id,card_number,card_market_value,set_name,binder_name,page_number,slot_number
2-1-1,base4-1,base4,1,0.0,NOT_FOUND,2,1,1
2-1-2,base4-2,base4,2,0.0,NOT_FOUND,2,1,2
2-1-3,base4-3,base4,3,0.0,NOT_FOUND,2,1,3
2-1-4,base4-4,base4,4,0.0,NOT_FOUND,2,1,4
2-1-5,base4-5,base4,5,0.0,NOT_FOUND,2,1,5
2-1-6,base4-6,base4,6,0.0,NOT_FOUND,2,1,6
2-1-7,base4-7,base4,7,0.0,NOT_FOUND,2,1,7
2-1-8,base4-8,base4,8,0.0,NOT_FOUND,2,1,8
2-1-9,base4-9,base4,9,0.0,NOT_FOUND,2,1,9
2-2-1,base4-10,base4,10,0.0,NOT_FOUND,2,2,1
2-2-2,base4-11,base4,11,0.0,NOT_FOUND,2,2,2
2-2-3,base4-12,base4,12,0.0,NOT_FOUND,2,2,3
2-2-4,base4-13,base4,13,0.0,NOT_FOUND,2,2,4
2-2-5,base4-14,base4,14,0.0,NOT_FOUND,2,2,5
2-2-6,base4-15,base4,15,0.0,NOT_FOUND,2,2,6
2-2-7,base4-16,base4,16,0.0,NOT_FOUND,2,2,7
2-2-8,base4-17,base4,17,0.0,NOT_FOUND,2,2,8
2-2-9,base4-18,base4,18,0.0,NOT_FOUND,2,2,9
2-3-1,base4-19,base4,19,0.0,NOT_FOUND,2,3,1
2-3-2,base4-20,base4,20,0.0,NOT_FOUND,2,3,2
2-3-3,base4-21,base4,21,0.0,NOT_FOUND,2,3,3
2-3-4,base4-22,base4,22,0.0,NOT_FOUND,2,3,4
2-3-5,base4-23,base4,23,0.0,NOT_FOUND,2,3,5
2-3-6,base4-24,base4,24,0.0,NOT_FOUND,2,3,6
2-3-7,base4-25,base4,25,0.0,NOT_FOUND,2,3,7
2-3-8,base4-26,base4,26,0.0,NOT_FOUND,2,3,8
2-3-9,base4-27,base4,27,0.0,NOT_FOUND,2,3,9
2-4-1,base4-28,base4,28,0.0,NOT_FOUND,2,4,1
2-4-2,base4-29,base4,29,0.0,NOT_FOUND,2,4,2
2-4-3,base4-30,base4,30,0.0,NOT_FOUND,2,4,3
2-4-4,base4-31,base4,31,0.0,NOT_FOUND,2,4,4
2-4-5,base4-32,base4,32,0.0,NOT_FOUND,2,4,5
2-4-6,base4-33,base4,33,0.0,NOT_FOUND,2,4,6
2-4-7,base4-34,base4,34,0.0,NOT_FOUND,2,4,7
2-4-8,base4-35,base4,35,0.0,NOT_FOUND,2,4,8
2-4-9,base4-36,base4,36,0.0,NOT_FOUND,2,4,9
2-5-1,base4-37,base4,37,0.0,NOT_FOUND,2,5,1
2-5-2,base4-38,base4,38,0.0,NOT_FOUND,2,5,2
2-5-3,base4-39,base4,39,0.0,NOT_FOUND,2,5,3
2-5-4,base4-40,base4,40,0.0,NOT_FOUND,2,5,4
2-5-5,base4-41,base4,41,0.0,NOT_FOUND,2,5,5
2-5-6,base4-42,base4,42,0.0,NOT_FOUND,2,5,6
2-5-7,base4-43,base4,43,0.0,NOT_FOUND,2,5,7
2-5-8,base4-44,base4,44,0.0,NOT_FOUND,2,5,8
2-5-9,base4-45,base4,45,0.0,NOT_FOUND,2,5,9
2-6-1,base4-46,base4,46,0.0,NOT_FOUND,2,6,1
2-6-2,base4-47,base4,47,0.0,NOT_FOUND,2,6,2
2-6-3,base4-48,base4,48,0.0,NOT_FOUND,2,6,3
2-6-4,base4-49,base4,49,0.0,NOT_FOUND,2,6,4
2-6-5,base4-50,base4,50,0.0,NOT_FOUND,2,6,5
2-6-6,base4-51,base4,51,0.0,NOT_FOUND,2,6,6
2-6-7,base4-52,base4,52,0.0,NOT_FOUND,2,6,7
2-6-8,base4-53,base4,53,0.0,NOT_FOUND,2,6,8
2-6-9,base4-54,base4,54,0.0,NOT_FOUND,2,6,9
2-7-1,base4-55,base4,55,0.0,NOT_FOUND,2,7,1
2-7-2,base4-56,base4,56,0.0,NOT_FOUND,2,7,2
2-7-3,base4-57,base4,57,0.0,NOT_FOUND,2,7,3
2-7-4,base4-58,base4,58,0.0,NOT_FOUND,2,7,4
2-7-5,base4-59,base4,59,0.0,NOT_FOUND,2,7,5
2-7-6,base4-60,base4,60,0.0,NOT_FOUND,2,7,6
2-7-7,base4-61,base4,61,0.0,NOT_FOUND,2,7,7
2-7-8,base4-62,base4,62,0.0,NOT_FOUND,2,7,8
2-7-9,base4-63,base4,63,0.0,NOT_FOUND,2,7,9
2-8-1,base4-64,base4,64,0.0,NOT_FOUND,2,8,1
2-8-2,base4-65,base4,65,0.0,NOT_FOUND,2,8,2
2-8-3,base4-66,base4,66,0.0,NOT_FOUND,2,8,3
2-8-4,base4-67,base4,67,0.0,NOT_FOUND,2,8,4
2-8-5,base4-68,base4,68,0.0,NOT_FOUND,2,8,5
2-8-6,base4-69,base4,69,0.0,NOT_FOUND,2,8,6
2-8-7,base4-70,base4,70,0.0,NOT_FOUND,2,8,7
2-8-8,base4-71,base4,71,0.0,NOT_FOUND,2,8,8
2-8-9,base4-72,base4,72,0.0,NOT_FOUND,2,8,9
2-9-1,base4-73,base4,73,0.0,NOT_FOUND,2,9,1
2-9-2,base4-74,base4,74,0.0,NOT_FOUND,2,9,2
2-9-3,base4-75,base4,75,0.0,NOT_FOUND,2,9,3
